id,genre,track_name,artist_name,valence,energy;
2yrAD69v6rP6bZhIjs7kOy,afrobeat,Set,Youssou N'Dour,0.786,0.684;
37pTPl9fc7hgSI7cO5GbOs,afrobeat,Akwaaba,Blitz The Ambassador,0.788,0.953;
7KVy6npMdvnDl7QRcpTMtr,afrobeat,Penda Yoro,Ali Farka Touré,0.718,0.643;
5MLW8jzgAdr5pJxPl1qIMS,afrobeat,Ce N'est Pas Bon,Amadou & Mariam,0.734,0.712;
"5HQVUIKwCEXpe7JIHyY734,afrobeat,""Young, Wild & Free (feat. Bruno Mars)"",Snoop Dogg,0.531,0.655";
1VN69USWYZV5vqfOqH63z3,afrobeat,Dakar Moon,Various Artists,0.805,0.676;
1rHtij1w0bPdNuCRTUex9u,afrobeat,Cha Cha,Mulatu Astatke,0.837,0.731;
7JlhLMTTxGJAqmgmQozMgi,afrobeat,Mancipera,Rokia Traoré,0.822,0.414;
5O5RoaM2fwz0tHOtJRjez8,afrobeat,Machengoidi,Ali Farka Touré,0.241,0.261;
0WqsQ3YFqVsap4P3GEZG3A,afrobeat,Moussolou,Salif Keita,0.622,0.503;
0bjb3fPJgElgBNEwQvGKxQ,afrobeat,Say You Love,P-Square,0.49,0.586;
60UNH3Bd5rEkqBR694q7MD,afrobeat,Juju,Ice Prince,0.878,0.708;
4tOeiJqj6vhXjkckN6T3X5,afrobeat,Never Believe You,Mavado,0.657,0.685;
2DrGFzrWGzAaIV3Q6vBOdC,afrobeat,Kadi Kadi,Ali Farka Touré,0.756,0.479;
2nlBaiNG1gIRLmsZnTmGbq,afrobeat,The Click Song,Miriam Makeba,0.716,0.487;
6i2YA4WM3FqwyO7UX7XWbx,afrobeat,Zumba,Don Omar,0.838,0.9;
06GqSgEaeeoL5SzqA0aCvo,afrobeat,yündüya Weyu (The Sun Has Set),Umalali,0.914,0.589;
0zwL0IxW2DWeXtfN8PmlzV,afrobeat,Imidiwan Win Sahara,Tinariwen,0.826,0.68;
64kq7969WB5YTeW61hHmWf,afrobeat,Yefikir Tizita,Mulatu Astatke,0.595,0.275;
7LLyEy0GVYBpziR5O06ZZv,afrobeat,Ja Funmi,King Sunny Ade,0.841,0.459;
24xmFCREF5JiqKBhLHqgKL,afrobeat,King of Kings,Ladysmith Black Mambazo,0.392,0.0522;
3mYsWA2ClF84ZLroBpreo1,afrobeat,Pot Belly,Freshlyground,0.311,0.46;
1MN5gnxpy3GeSFoldiWwGu,afrobeat,Bissa,Fatoumata Diawara,0.735,0.701;
4PCW6nxrT9qxet5scL7T1L,afrobeat,Heaven,Various Artists,0.384,0.768;
4IFMYZUdavCtTraiqLSWue,afrobeat,KM Même Pas Fatigués,Khaled,0.914,0.748;
5YgyvTZmdkIfFOnj8ri8mZ,afrobeat,Pakurumo,Wizkid,0.967,0.737;
2lHYi2Yv1RWiLQfiA7S3Do,afrobeat,Bili,Kanda Bongo Man,0.95,0.874;
1dkvVCIP2IH8xLq94UROIU,afrobeat,Dianfa,Rokia Traoré,0.379,0.213;
0YKcfBOaZKpx4tbI0UIJT3,afrobeat,Toumast,Tinariwen,0.675,0.791;
0e5UqCO2phP2DgD4aYSeEA,afrobeat,Sechaba,Various Artists,0.674,0.28;
5qHNCskW92UF7zOIARUtBw,afrobeat,Don't Look Back,Youssou N'Dour,0.422,0.366;
6vvm7ljmnCk6ymY0DxTb22,afrobeat,Me and My Brother,P-Square,0.51,0.725;
13ZxF2d4gzN0Qnhr8gRkWe,afrobeat,He Lives In You (Reprise),Various Artists,0.524,0.344;
2k9YW039dvyNheljQQ2KrM,afrobeat,Iswegh Attay,Tinariwen,0.586,0.446;
6clkTQW6BTwJxLQjH6WBVj,afrobeat,Yeke Yeke,Mory Kanté,0.585,0.92;
00pbW1N78AUv5s1jIQ13kN,afrobeat,Hommage a Tonton Ferrer,Orchestra Baobab,0.743,0.481;
3JPrTUwhK3Utti9ilI75fB,afrobeat,Umqombothi,Yvonne Chaka Chaka,0.961,0.716;
2SvfiubxYXtDEhuXpWFqJ4,afrobeat,M'bifé blues,Amadou & Mariam,0.405,0.46;
5WMgNq8IGWiXV7acTMMPvX,afrobeat,Ekaette (feat. Tekno),Iyanya,0.934,0.982;
